City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Punta Arenas,CL,-53.15,-70.9167,44.71,65,40,21.85,scattered clouds
1,Narsaq,GL,60.9167,-46.05,14.22,69,82,10.0,broken clouds
2,Cidreira,BR,-30.1811,-50.2056,72.07,72,93,13.42,overcast clouds
3,Faanui,PF,-16.4833,-151.75,81.34,76,80,14.2,light rain
4,Hilo,US,19.7297,-155.09,72.81,88,35,4.29,scattered clouds
5,Lagoa,PT,39.05,-27.9833,58.28,70,0,14.83,clear sky
6,San Cristobal,VE,7.7669,-72.225,71.78,93,97,1.36,overcast clouds
7,Vaini,TO,-21.2,-175.2,80.47,83,20,20.31,light rain
8,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.52,96,100,9.57,light rain
9,Lasa,IT,46.6166,10.7002,32.29,36,34,3.29,scattered clouds
10,Ossora,RU,59.2353,163.0719,-3.95,96,30,0.72,scattered clouds
11,Tiksi,RU,71.6872,128.8694,-12.26,92,99,14.56,overcast clouds
12,Gisborne,NZ,-38.6533,178.0042,80.22,68,20,3.44,few clouds
13,Bredasdorp,ZA,-34.5322,20.0403,62.28,81,100,5.77,overcast clouds
14,Thompson,CA,55.7435,-97.8558,-14.15,99,80,2.39,broken clouds
15,Sakmara,RU,51.9844,55.3338,8.62,92,100,13.71,light snow
16,Camabatela,AO,-8.1881,15.375,58.15,99,65,1.32,broken clouds
17,Kapaa,US,22.0752,-159.319,76.98,74,75,4.61,broken clouds
18,Hermanus,ZA,-34.4187,19.2345,64.9,85,99,4.79,overcast clouds
19,Khudumelapye,BW,-23.8833,24.75,71.17,57,55,3.29,broken clouds
20,Rikitea,PF,-23.1203,-134.9692,79.11,73,30,18.45,scattered clouds
21,Ushuaia,AR,-54.8,-68.3,47.86,46,75,18.41,broken clouds
22,Nalut,LY,30.3333,10.85,42.01,71,3,12.06,clear sky
23,Avarua,CK,-21.2078,-159.775,80.65,83,40,11.5,scattered clouds
24,Nanortalik,GL,60.1432,-45.2371,20.03,69,63,7.58,broken clouds
25,Broken Hill,AU,-31.95,141.4333,85.03,30,10,15.73,clear sky
26,Pisco,PE,-13.7,-76.2167,72.01,73,100,6.91,overcast clouds
27,Colomi,BO,-17.35,-65.8667,51.06,89,96,4.5,overcast clouds
28,Birjand,IR,32.8663,59.2211,44.89,26,0,4.65,clear sky
29,Heihe,CN,50.2441,127.4902,7.38,86,98,9.73,overcast clouds
30,Butaritari,KI,3.0707,172.7902,81.72,78,100,14.5,light rain
31,Saskylakh,RU,71.9167,114.0833,-1.44,91,100,13.69,overcast clouds
32,Breyten,ZA,-26.3018,29.987,55.15,85,7,3.22,clear sky
33,Bluff,NZ,-46.6,168.3333,73.8,83,40,12.41,scattered clouds
34,Albany,US,42.6001,-73.9662,37.81,73,98,2.53,overcast clouds
35,Puerto Ayora,EC,-0.7393,-90.3518,73.85,84,97,5.55,overcast clouds
36,Beian,NO,63.6559,9.5683,37.49,75,40,28.77,scattered clouds
37,Kaitangata,NZ,-46.2817,169.8464,68.94,91,68,5.61,broken clouds
38,Uyuni,BO,-20.4597,-66.825,52.21,39,5,9.22,clear sky
39,Ancud,CL,-41.8697,-73.8203,50.43,75,94,8.23,overcast clouds
40,Nikolskoye,RU,59.7035,30.7861,35.71,89,100,11.9,snow
41,Mataura,NZ,-46.1927,168.8643,73.47,34,12,7.11,few clouds
42,Castro,BR,-24.7911,-50.0119,58.03,99,30,5.99,scattered clouds
43,East London,ZA,-33.0153,27.9116,66.65,76,0,5.03,clear sky
44,Atuona,PF,-9.8,-139.0333,78.78,76,10,17.25,clear sky
45,Half Moon Bay,US,37.4636,-122.4286,65.3,53,0,8.05,clear sky
46,Hobart,AU,-42.8794,147.3294,74.12,38,100,13.8,overcast clouds
47,Colares,PT,38.7992,-9.4469,54.9,68,71,15.01,broken clouds
48,Kavaratti,IN,10.5669,72.642,80.19,71,100,14.67,overcast clouds
49,Ponta Do Sol,PT,32.6667,-17.1,71.01,27,100,3.06,overcast clouds
50,Cape Town,ZA,-33.9258,18.4232,66.88,89,75,5.75,light intensity drizzle
51,Polovinnoye,RU,54.7914,65.9864,-1.37,99,72,7.52,broken clouds
52,Mount Gambier,AU,-37.8333,140.7667,69.82,43,30,10.25,scattered clouds
53,Kruisfontein,ZA,-34.0033,24.7314,61.77,68,0,6.02,clear sky
54,La Seyne-Sur-Mer,FR,43.0982,5.8847,50.94,96,11,6.35,few clouds
55,Port Elizabeth,ZA,-33.918,25.5701,64.81,79,6,7.07,clear sky
56,Homer,US,59.6425,-151.5483,15.69,62,20,24.16,few clouds
57,Tuktoyaktuk,CA,69.4541,-133.0374,-13.49,93,100,13.24,overcast clouds
58,Port Lincoln,AU,-34.7333,135.8667,70.97,53,20,12.64,few clouds
59,Manggar,ID,-2.8833,108.2667,79.47,80,100,12.97,light rain
60,Tasiilaq,GL,65.6145,-37.6368,15.96,55,100,7.94,overcast clouds
61,New Norfolk,AU,-42.7826,147.0587,73.76,25,7,8.88,clear sky
62,Takoradi,GH,4.8845,-1.7554,77.36,90,13,5.14,few clouds
63,Jamestown,US,42.097,-79.2353,43.92,40,40,12.66,scattered clouds
64,Georgetown,MY,5.4112,100.3354,84.13,73,20,6.91,few clouds
65,Alice Springs,AU,-23.7,133.8833,89.15,27,16,10.36,few clouds
66,Chiang Khong,TH,20.2613,100.4046,86.63,35,14,2.1,few clouds
67,Padang,ID,-0.9492,100.3543,84.25,50,100,2.82,moderate rain
68,Klaksvik,FO,62.2266,-6.589,31.12,63,100,23.15,overcast clouds
69,Saint-Philippe,RE,-21.3585,55.7679,79.11,73,41,4.16,scattered clouds
70,Namibe,AO,-15.1961,12.1522,71.92,84,99,2.82,overcast clouds
71,Eidfjord,NO,60.4675,7.0719,36.43,96,100,11.41,overcast clouds
72,Sokolo,ML,14.7328,-6.1219,69.35,10,0,12.28,clear sky
73,Damaturu,NG,11.747,11.9608,60.13,27,18,9.33,few clouds
74,Kahului,US,20.8947,-156.47,78.06,74,40,9.22,scattered clouds
75,Kodarma,IN,24.4667,85.6,71.2,49,47,2.46,scattered clouds
76,Linares,CL,-35.85,-71.6,63.45,55,1,2.44,clear sky
77,Rosetown,CA,51.5501,-108.0014,31.98,89,100,11.3,light snow
78,Lompoc,US,34.6391,-120.4579,70.11,54,0,0.0,clear sky
79,Rio Gallegos,AR,-51.6226,-69.2181,46.89,60,76,20.83,broken clouds
80,Biak,ID,-0.9131,122.8766,80.71,79,100,1.59,light rain
81,Barrow,US,71.2906,-156.7887,-18.38,69,100,8.05,snow
82,Mahebourg,MU,-20.4081,57.7,82.26,74,61,6.13,broken clouds
83,Minot,US,48.2325,-101.2963,23.99,86,0,10.36,clear sky
84,Altay,CN,47.8667,88.1167,9.88,93,100,1.83,overcast clouds
85,Auki,SB,-8.7676,160.7034,82.27,79,99,9.62,heavy intensity rain
86,Dakar,SN,14.6937,-17.4441,76.08,49,92,14.36,overcast clouds
87,Naze,JP,28.3667,129.4833,58.69,71,82,17.05,broken clouds
88,San Pedro,PH,14.35,121.0167,87.35,59,67,15.26,broken clouds
89,Hithadhoo,MV,-0.6,73.0833,82.0,73,42,11.01,scattered clouds
90,Arlit,NE,18.7369,7.3853,62.76,10,0,7.56,clear sky
91,Guadalupe Y Calvo,MX,26.1,-106.9667,37.89,45,100,3.44,overcast clouds
92,The Valley,AI,18.217,-63.0578,77.09,60,0,20.11,clear sky
93,La Palma,US,33.8464,-118.0467,78.75,25,0,5.75,clear sky
94,Halifax,CA,44.6453,-63.5724,32.52,87,86,3.38,overcast clouds
95,Manaquiri,BR,-3.3167,-60.35,79.25,96,99,0.4,light rain
96,Severo-Kurilsk,RU,50.6789,156.125,30.52,69,99,17.6,overcast clouds
97,Vila,PT,42.0304,-8.1588,43.68,70,58,3.4,broken clouds
98,Leningradskiy,RU,69.3833,178.4167,-30.41,97,79,6.15,broken clouds
99,Russell,US,32.3502,-85.1999,51.03,80,0,3.44,clear sky
100,Waddan,LY,29.1614,16.139,49.59,57,67,8.7,broken clouds
101,Katangli,RU,51.7102,143.2326,19.83,92,100,9.86,light snow
102,Zhigansk,RU,66.7697,123.3711,-28.91,96,86,9.37,overcast clouds
103,Upernavik,GL,72.7868,-56.1549,-13.4,78,100,7.11,overcast clouds
104,Yellowknife,CA,62.456,-114.3525,-6.59,87,100,18.41,light snow
105,Tessalit,ML,20.1986,1.0114,61.2,11,0,8.9,clear sky
106,Itarema,BR,-2.9248,-39.9167,77.13,79,13,7.78,few clouds
107,Chokurdakh,RU,70.6333,147.9167,-17.37,97,100,11.99,overcast clouds
108,Palmer,US,42.1584,-72.3287,34.93,77,20,3.44,few clouds
109,Kemijarvi,FI,66.7131,27.4306,26.15,92,100,9.95,overcast clouds
110,Ilulissat,GL,69.2167,-51.1,8.62,78,75,23.02,light snow
111,Road Town,VG,18.4167,-64.6167,73.49,69,3,21.81,clear sky
112,Bambous Virieux,MU,-20.3428,57.7575,82.22,74,60,6.51,broken clouds
113,Qaanaaq,GL,77.484,-69.3632,-22.07,61,90,7.05,overcast clouds
114,Port Augusta,AU,-32.5,137.7667,86.7,36,21,18.48,few clouds
115,Fortuna,US,40.5982,-124.1573,54.09,88,0,8.05,clear sky
116,Ladario,BR,-19.0047,-57.6017,71.98,49,100,2.42,overcast clouds
117,Airai,TL,-8.9266,125.4092,68.47,87,89,1.19,light rain
118,Vostok,RU,46.4856,135.8833,21.6,73,35,2.91,scattered clouds
119,Mar Del Plata,AR,-38.0023,-57.5575,66.87,86,0,18.01,clear sky
120,Ust-Nera,RU,64.5667,143.2,-18.72,97,68,4.47,broken clouds
121,Yulara,AU,-25.2406,130.9889,89.96,23,42,14.92,scattered clouds
122,Esperance,AU,-33.8667,121.9,79.47,50,4,13.24,clear sky
123,Hamilton,US,39.1834,-84.5333,41.63,73,0,5.75,clear sky
124,Qaqortoq,GL,60.7167,-46.0333,14.5,69,81,10.31,broken clouds
125,Pacific Grove,US,36.6177,-121.9166,65.43,48,0,4.61,clear sky
126,Springfield,US,37.2153,-93.2982,44.08,66,0,3.44,clear sky
127,Huejuquilla El Alto,MX,22.6,-103.8667,46.04,46,6,3.38,clear sky
128,Rio Tercero,AR,-32.173,-64.1141,63.45,52,15,7.47,few clouds
129,Pevek,RU,69.7008,170.3133,-31.32,99,99,4.81,overcast clouds
130,Russkiy Aktash,RU,55.0384,52.1214,22.35,93,100,14.56,light snow
131,Avera,US,33.194,-82.5271,51.71,61,0,6.87,clear sky
132,Busselton,AU,-33.65,115.3333,92.05,34,6,3.62,clear sky
133,Deputatskiy,RU,69.3,139.9,-24.03,85,75,6.08,broken clouds
134,Jumla,NP,29.2747,82.1838,37.54,57,1,1.12,clear sky
135,Wanaka,NZ,-44.7,169.15,77.56,35,2,9.82,clear sky
136,Noyabrsk,RU,63.1994,75.4507,-10.01,93,11,11.56,few clouds
137,Agadez,NE,19.75,10.25,53.6,36,0,9.19,clear sky
138,Port Alfred,ZA,-33.5906,26.891,65.44,78,0,8.93,clear sky
139,San Angelo,US,31.4638,-100.437,47.53,36,0,0.0,clear sky
140,Kalianget,ID,-7.05,113.9333,83.53,75,98,8.05,overcast clouds
141,Kindu,CD,-2.95,25.95,69.3,99,98,0.56,light rain
142,New Castle,US,41.0037,-80.347,43.88,65,100,4.61,overcast clouds
143,Novoagansk,RU,61.9449,76.6625,-14.06,99,13,5.79,few clouds
144,Saldanha,ZA,-33.0117,17.9442,64.22,95,57,7.09,broken clouds
145,Bethel,US,41.3712,-73.414,34.93,84,0,0.0,clear sky
146,Ferrol,ES,43.4832,-8.2369,52.34,83,69,7.63,broken clouds
147,Progreso,MX,21.2833,-89.6667,68.11,73,32,8.59,scattered clouds
148,Leninsk,RU,48.7119,45.1994,31.86,90,100,13.18,overcast clouds
149,Ilinskiy,RU,55.619,38.1182,30.88,86,100,7.0,overcast clouds
150,Los Llanos De Aridane,ES,28.6585,-17.9182,72.12,35,0,5.01,clear sky
151,Buala,SB,-8.145,159.5921,83.34,79,94,10.13,moderate rain
152,Kaohsiung,TW,22.6163,120.3133,74.03,70,40,4.61,haze
153,Carnarvon,AU,-24.8667,113.6333,86.07,62,0,14.97,clear sky
154,Maraa,BR,-1.8333,-65.3667,72.52,98,100,0.4,overcast clouds
155,Pafos,CY,34.7667,32.4167,44.51,81,20,8.05,few clouds
156,Bandar-E Anzali,IR,37.4727,49.4622,42.91,68,100,6.33,overcast clouds
157,Riyadh,SA,24.6877,46.7219,53.74,32,0,9.26,clear sky
158,Mehamn,NO,71.0357,27.8492,21.15,79,0,27.63,clear sky
159,Ahipara,NZ,-35.1667,173.1667,78.75,70,100,10.69,overcast clouds
160,Khash,IR,28.2211,61.2158,49.48,23,0,1.43,clear sky
161,Mmathubudukwane,BW,-24.6,26.4333,68.95,69,5,4.05,clear sky
162,Ushtobe,KZ,45.2514,77.9838,26.83,95,100,7.47,overcast clouds
163,Cruz Alta,BR,-28.6386,-53.6064,59.54,87,0,9.93,clear sky
164,Grindavik,IS,63.8424,-22.4338,18.07,79,0,6.91,clear sky
165,Akyab,MM,20.15,92.9,75.33,30,4,6.22,clear sky
166,Napoleon,US,41.3923,-84.1252,37.96,93,92,13.82,overcast clouds
167,Talcahuano,CL,-36.7167,-73.1167,60.48,59,0,8.05,clear sky
168,Cockburn Town,TC,21.4612,-71.1419,77.77,75,1,18.99,clear sky
169,Khatanga,RU,71.9667,102.5,-1.44,94,83,15.68,broken clouds
170,San Patricio,US,28.017,-97.5169,58.82,62,33,8.63,scattered clouds
171,Vila Velha,BR,-20.3297,-40.2925,73.94,87,75,6.91,broken clouds
172,Laguna,US,38.421,-121.4238,62.4,73,0,3.44,clear sky
173,Ribeira Grande,PT,38.5167,-28.7,58.98,69,1,12.17,clear sky
174,Geraldton,AU,-28.7667,114.6,100.81,14,0,5.75,clear sky
175,College,US,64.8569,-147.8028,-2.25,78,100,6.91,light snow
176,Altar,MX,30.7,-111.8167,61.74,22,0,5.44,clear sky
177,Ormara,PK,25.2088,64.6357,70.11,27,1,2.53,clear sky
178,Lavrentiya,RU,65.5833,-171.0,-26.28,94,41,8.3,scattered clouds
179,Sambava,MG,-14.2667,50.1667,76.68,90,100,4.7,overcast clouds
180,Perle,LU,49.8117,5.7658,36.25,59,62,6.76,broken clouds
181,Jensen Beach,US,27.2545,-80.2298,63.01,67,0,4.61,clear sky
182,Torbay,CA,47.6666,-52.7314,35.58,90,24,1.99,few clouds
183,Casper,US,42.8666,-106.3131,37.51,75,20,6.91,few clouds
184,Bosobolo,CD,4.1833,19.9,71.64,30,87,2.98,overcast clouds
185,Quesnel,CA,52.9999,-122.5029,37.0,97,100,7.56,overcast clouds
186,Kovdor,RU,67.5662,30.4758,21.36,94,99,6.24,overcast clouds
187,Dikson,RU,73.5069,80.5464,2.16,95,100,20.94,overcast clouds
188,Cap Malheureux,MU,-19.9842,57.6142,82.47,66,85,1.99,overcast clouds
189,Komsomolskiy,UZ,40.4272,71.7189,35.02,86,100,4.61,mist
190,Sao Filipe,CV,14.8961,-24.4956,77.07,54,96,6.11,overcast clouds
191,Yumen,CN,40.2833,97.2,26.94,34,100,14.36,overcast clouds
192,Montepuez,MZ,-13.1256,38.9997,69.19,99,100,3.47,light rain
193,Cabo San Lucas,MX,22.8909,-109.9124,69.51,74,66,3.0,broken clouds
194,Huarmey,PE,-10.0681,-78.1522,71.11,81,100,6.49,overcast clouds
195,Kommunisticheskiy,RU,61.6789,64.4819,6.28,94,99,11.12,overcast clouds
196,Norman Wells,CA,65.282,-126.8329,-10.75,97,100,2.37,overcast clouds
197,Kodiak,US,57.79,-152.4072,18.91,45,0,8.05,clear sky
198,Dentsville,US,34.064,-80.9582,45.88,76,0,0.0,clear sky
199,Kendari,ID,-3.945,122.4989,84.34,70,98,2.51,overcast clouds
200,Souillac,MU,-20.5167,57.5167,82.36,73,55,4.61,broken clouds
201,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,22,0,21.85,clear sky
202,Ukiah,US,39.1502,-123.2078,59.43,58,0,4.61,clear sky
203,Lebu,CL,-37.6167,-73.65,59.67,88,46,21.7,scattered clouds
204,Maceio,BR,-9.6658,-35.7353,76.44,88,20,3.44,few clouds
205,Ternate,ID,0.8,127.4,84.67,66,65,4.18,broken clouds
206,Te Anau,NZ,-45.4167,167.7167,73.58,47,2,7.81,clear sky
207,Honiara,SB,-9.4333,159.95,85.01,75,45,10.09,light rain
208,Waingapu,ID,-9.6567,120.2641,84.81,72,100,6.49,overcast clouds
209,Sola,VU,-13.8833,167.55,81.82,78,100,24.9,overcast clouds
210,Raudeberg,NO,61.9875,5.1352,35.2,94,99,5.99,overcast clouds
211,Santa Lucia,ES,27.9117,-15.5407,65.77,30,20,3.44,few clouds
212,Port Hedland,AU,-20.3167,118.5667,91.45,62,7,17.27,clear sky
213,Quatre Cocos,MU,-20.2078,57.7625,82.09,73,60,6.49,broken clouds
214,Guerrero Negro,MX,27.9769,-114.0611,62.11,67,0,9.01,clear sky
215,Victoria,HK,22.2855,114.1577,70.18,86,88,3.0,overcast clouds
216,Lieksa,FI,63.3167,30.0167,25.38,97,100,7.9,overcast clouds
217,Hualmay,PE,-11.0964,-77.6139,70.03,82,69,6.8,broken clouds
218,Fort Nelson,CA,58.8053,-122.7002,28.06,90,92,4.32,overcast clouds
219,Meulaboh,ID,4.1363,96.1285,77.4,82,100,7.74,overcast clouds
220,Gemena,CD,3.25,19.7667,69.75,37,74,3.15,broken clouds
221,Dunmore Town,BS,25.5,-76.65,74.86,78,58,12.48,broken clouds
222,Wajima,JP,37.4,136.9,41.25,78,100,12.33,overcast clouds
223,Leh,IN,34.1667,77.5833,-1.64,91,97,1.9,overcast clouds
224,Sitka,US,57.0531,-135.33,42.69,81,100,14.97,light rain
225,Kisangani,CD,0.5167,25.2,71.98,86,53,3.27,broken clouds
226,Longyearbyen,SJ,78.2186,15.6401,13.84,85,75,6.91,broken clouds
227,Banda Aceh,ID,5.5577,95.3222,82.47,72,99,7.74,overcast clouds
228,Surt,LY,31.2089,16.5887,56.91,71,81,13.49,broken clouds
229,Canyon,US,34.9803,-101.9188,47.01,33,95,8.19,overcast clouds
230,Strezhevoy,RU,60.7333,77.5889,-9.02,99,13,5.19,few clouds
231,Moerai,PF,-22.4333,-151.3333,80.04,79,100,12.46,overcast clouds
232,Dillon,US,34.4166,-79.3712,45.41,63,0,6.73,clear sky
233,Vanimo,PG,-2.6741,141.3028,84.24,72,39,4.38,scattered clouds
234,Trat,TH,12.5,102.5,88.25,50,16,4.25,few clouds
235,Kut Chap,TH,17.4257,102.5669,91.76,65,19,2.98,few clouds
236,Vardo,NO,70.3705,31.1107,28.6,78,100,20.56,overcast clouds
237,Olovyannaya,RU,50.95,115.5667,-1.66,93,99,5.46,overcast clouds
238,Gladstone,AU,-23.85,151.25,85.93,48,75,11.5,broken clouds
239,Terrasini,IT,38.146,13.0844,49.21,70,0,4.61,clear sky
240,Hasaki,JP,35.7333,140.8333,43.2,89,100,20.11,overcast clouds
241,Kuandian,CN,40.7286,124.7847,34.25,53,8,3.18,clear sky
242,Havre-Saint-Pierre,CA,50.2334,-63.5986,18.68,96,97,1.74,overcast clouds
243,Arraial Do Cabo,BR,-22.9661,-42.0278,69.57,93,96,7.67,overcast clouds
244,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.08,70,88,9.46,overcast clouds
245,Kieta,PG,-6.2167,155.6333,83.52,79,63,8.52,moderate rain
246,Vaitape,PF,-16.5167,-151.75,81.3,76,81,14.23,light rain
247,Epe,NG,6.5841,3.9834,74.01,95,1,2.89,clear sky
248,Ambon,ID,-3.6954,128.1814,87.94,66,40,6.91,scattered clouds
249,Demba,CD,-5.51,22.2667,66.15,99,81,2.68,light rain
250,Ponta Delgada,PT,37.7333,-25.6667,58.5,82,40,8.05,scattered clouds
251,Beringovskiy,RU,63.05,179.3167,-19.79,88,2,9.75,clear sky
252,Porkhov,RU,57.765,29.5561,37.29,88,100,11.45,overcast clouds
253,Emerald,AU,-23.5333,148.1667,95.34,34,0,9.62,clear sky
254,Osakarovka,KZ,50.565,72.5692,-1.59,99,85,6.82,overcast clouds
255,Hanmer Springs,NZ,-42.5167,172.8167,70.32,86,100,3.56,overcast clouds
256,San Ramon,US,37.7799,-121.978,63.34,59,0,8.05,clear sky
257,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,27.19,64,75,4.47,broken clouds
258,Tateyama,JP,34.9833,139.8667,40.93,81,75,13.8,broken clouds
259,Ondangwa,NA,-17.9167,15.95,68.29,87,100,13.18,light rain
260,Tanout,NE,14.9709,8.8879,59.79,10,54,12.97,broken clouds
261,Ellisras,ZA,-23.6649,27.7443,68.76,59,29,2.82,scattered clouds
262,Port Hardy,CA,50.6996,-127.4199,45.75,94,98,6.15,overcast clouds
263,Charlestown,AU,-32.95,151.6667,93.51,55,6,1.99,clear sky
264,Tanabe,JP,33.7333,135.3667,45.93,64,99,5.99,overcast clouds
265,Peniche,PT,39.3558,-9.3811,53.11,80,68,8.01,broken clouds
266,Port Hawkesbury,CA,45.6169,-61.3485,30.58,95,42,5.61,scattered clouds
267,Dingle,PH,10.9995,122.6711,84.47,61,26,16.33,light rain
268,Nome,US,64.5011,-165.4064,-16.53,76,0,5.75,clear sky
269,Bilma,NE,18.6853,12.9164,55.49,42,0,10.65,clear sky
270,Tarpon Springs,US,28.1461,-82.7568,55.94,76,0,0.0,clear sky
271,Ulagan,RU,50.6321,87.9563,1.67,92,98,1.12,overcast clouds
272,Seymchan,RU,62.8833,152.4333,-24.5,89,80,1.39,broken clouds
273,Nishihara,JP,26.1842,127.7558,65.48,77,100,19.57,overcast clouds
274,Inta,RU,66.0317,60.1659,10.54,75,52,13.65,broken clouds
275,Flin Flon,CA,54.7682,-101.865,6.24,96,100,6.76,overcast clouds
276,Chuy,UY,-33.6971,-53.4616,64.24,81,0,7.49,clear sky
277,Mumbwa,ZM,-14.9783,27.0619,61.47,99,81,4.34,moderate rain
